Téma,Postoj,Počet videí,Topic Match %,Stance Match %,Watch Rate %,Like Rate %,Skip Rate %
Donald Trump,Support,6415,39.8%,34.9%,21.4%,21.4%,78.6%
Donald Trump,Oppose,4594,55.8%,44.6%,30.1%,30.1%,69.9%
Vaccines,Support,8051,1.5%,1.3%,13.3%,13.3%,86.7%
Vaccines,Oppose,6191,0.1%,0.1%,20.6%,20.6%,79.4%
Flatearth,Support,8968,7.8%,7.2%,15.7%,15.7%,84.3%
Flatearth,Oppose,8629,0.4%,0.1%,14.5%,14.5%,85.5%
Climate Change,Support,4652,0.0%,0.0%,30.1%,30.1%,69.9%
Climate Change,Oppose,9098,0.1%,0.0%,14.5%,14.5%,85.5%
